파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1502.wav,0,0.00,1.00,62.25,62.25,62.25,74.07
1503.wav,0,0.00,1.00,62.25,62.25,62.25,75.88
1504.wav,0,0.00,1.00,62.25,62.25,62.25,77.48
1505.wav,0,0.00,1.00,62.25,62.25,62.25,78.99
1506.wav,0,0.00,1.00,62.25,62.25,62.25,77.60
1507.wav,0,0.00,1.00,62.25,62.25,62.25,79.47
1508.wav,0,0.00,1.00,62.25,62.25,62.25,76.68
1509.wav,0,0.00,1.00,62.25,62.25,62.25,75.14
1510.wav,0,0.00,1.00,62.25,62.25,62.25,79.75
1511.wav,0,0.00,1.00,62.25,62.25,62.25,82.45
1512.wav,0,0.00,1.00,62.25,62.25,62.25,75.55
1513.wav,0,0.00,1.00,62.25,62.25,62.25,78.36
1514.wav,0,0.00,1.00,62.25,62.25,62.25,81.27
1515.wav,1,0.00,0.93,47.48,47.48,47.48,79.28
1516.wav,0,0.00,0.70,47.48,47.48,47.48,82.75
1517.wav,1,0.02,0.95,77.03,77.03,77.03,71.68
1518.wav,0,0.00,0.84,62.25,62.25,62.25,59.85
1522.wav,0,0.67,0.88,62.25,62.25,62.25,80.31
1523.wav,0,0.35,0.88,62.25,62.25,62.25,62.99
1526.wav,0,0.46,0.74,91.80,91.80,91.80,55.12
1528.wav,5,0.81,0.98,298.64,298.64,298.64,69.46
1531.wav,2,0.35,0.51,136.12,136.12,136.12,64.88
1532.wav,13,0.09,0.39,328.19,328.19,328.19,77.62
1534.wav,0,0.09,0.77,106.57,106.57,106.57,68.59
1535.wav,11,0.00,1.00,254.32,254.32,254.32,91.27
1538.wav,0,0.00,0.14,47.48,47.48,47.48,90.25
1539.wav,1,0.12,0.67,77.03,77.03,77.03,57.29
1541.wav,2,0.79,1.00,62.25,62.25,62.25,108.75
1542.wav,0,0.00,0.09,47.48,47.48,47.48,68.95
1544.wav,19,0.00,0.21,1367.22,1367.22,1367.22,58.86
1545.wav,6,0.74,0.95,254.32,254.32,254.32,83.01
